mean_r,std_r,kur_r,skew_r,mean_g,std_g,kur_g,skew_g,mean_b,std_b,kur_b,skew_b,entropy_r,entropy_g,contrast_r,contrast_g,contrast_b,corr_rg,corr_rb,corr_gb,moment_r,moment_g,moment_b,label
98.9816,13.90076478,2.067966296,0.519761647,101.726,12.59808414,2.832564029,0.706807951,104.2516,11.54406763,3.363282211,0.791973317,9.20057321,9.20279592,9.204318793,144,145,142,0.983652916,0.98733833,0.974142277,193.2312614,158.711724,0
128.1064,36.92504677,-0.947140232,-0.036539717,127.8969,34.69926037,-0.931844721,-0.011542568,127.1483,32.12519739,-0.900726269,-0.005004922,9.167340631,9.17247664,9.177635921,189,181,172,0.99729998,0.996578808,0.99122446,1363.459079,1204.03867,1
121.1866,29.24897914,0.155406027,0.550766524,125.1488,27.81549673,0.191077439,0.553928337,128.3007,26.47489905,0.161899759,0.470808821,9.18172081,9.186078499,9.189303004,180,177,170,0.983806632,0.987801191,0.956697272,855.5027804,773.7018586,1
146.3385,35.24762287,-1.285142766,0.368251931,149.9035,30.94403962,-1.078125711,0.417945023,152.8676,26.09498937,-0.718069126,0.322227615,9.181737818,9.189367143,9.195871959,176,175,167,0.95909974,0.963019469,0.884281738,1242.394918,957.5335877,0
129.5072,31.01756838,-0.270199416,0.380385699,129.0641,30.37783388,-0.118366688,0.417137786,129.8166,29.11020722,0.050478176,0.39235721,9.181795977,9.182827429,9.185299432,192,188,186,0.9915995,0.990244828,0.975734617,962.0895482,922.8127912,0
114.7838,26.19282836,1.935956612,0.901156128,115.6342,25.59397957,2.23706932,0.844575093,115.7845,24.4923388,2.373872243,0.775322664,9.185062663,9.186368179,9.188298003,211,211,209,0.981050566,0.977218024,0.949946343,686.0642576,655.0517904,0
115.1467,23.76371981,2.779435301,1.291286207,118.262,21.04748812,3.043123258,1.359871512,120.9784,19.1815519,2.947694302,1.251201891,9.19026651,9.195386697,9.198349942,176,162,153,0.976177087,0.981119431,0.94820638,564.7143791,442.996756,0
121.7809,35.50702318,-0.241955221,0.789494028,122.6642,33.17319458,-0.268314486,0.779818454,123.878,30.45606862,-0.261417417,0.726953742,9.169743393,9.175336187,9.181205286,168,161,164,0.989579316,0.991645078,0.97314196,1260.748695,1100.460838,1
116.6976,9.640153227,44.49997817,5.645803154,119.9722,9.131584044,44.98407155,5.623845123,122.8991,8.832039356,47.22056268,5.768485937,9.207330004,9.207761449,9.208034676,143,137,141,0.90461177,0.952874482,0.926175246,92.93255424,83.38582716,0
127.9278,36.39635129,-1.007498533,0.082326438,127.8274,33.31882965,-0.989014609,0.115150343,127.5485,30.12412402,-0.939980121,0.097312015,9.169038891,9.175916209,9.182115344,187,179,175,0.99568019,0.994532289,0.986736945,1324.694387,1110.144409,1
121.5372,27.83676734,0.812104052,0.882703539,120.8896,27.86459782,0.899012795,0.894504544,122.2148,27.21560694,0.977666236,0.892478045,9.185156056,9.184841316,9.186506103,179,178,183,0.989997324,0.990345274,0.975129421,774.8856162,776.4358118,0
